ABDELKADER_JUSTIN       50      529:34      3      3      3     79    116    141     27.3     27.3     1.25     2.38     4.55    90.32     2.10     2.35     47.3     2.52     2.61   46.5   20.9   32.6 -1
ADAMS_CRAIG       82      910:01      0     10      5     84    117    147      0.0     50.0     1.32     3.23     6.56    90.06     3.13     2.70     53.8     2.68     2.64   20.9   46.7   32.3 -1
AFINOGENOV_MAXIM       82     1426:17     24     37     20    181    250    321     28.2     43.5     3.58     3.11    10.98    89.31     2.70     2.73     49.7     2.70     2.67   39.0   26.9   34.1 -1
ALFREDSSON_DANIEL       70     1376:35     19     51     25    168    235    316     21.3     57.3     3.88     2.44    12.36    91.36     2.38     3.06     43.8     2.87     2.62   39.3   26.4   34.2 -1
ANISIMOV_ARTEM       82     1057:58     12     16      7    124    173    240     27.9     37.2     2.44     2.50     8.60    90.66     2.49     2.41     50.8     2.65     2.66   30.7   29.9   39.4 -1
ANTROPOV_NIK       76     1385:17     24     43     23    126    166    205     24.5     43.9     4.25     2.38    13.17    91.37     2.46     3.02     44.9     2.68     2.68   41.2   27.5   31.3 -1
ARMSTRONG_COLBY       79     1168:37     15     14      9    100    136    174     30.6     28.6     2.52     2.98     9.11    91.17     2.70     3.16     46.1     2.81     2.63   26.2   35.5   38.2 -1
ARNOTT_JASON       63     1177:58     19     27     14    216    280    333     25.0     35.5     3.87     2.44    10.16    90.36     2.50     2.46     50.4     2.75     2.66   42.9   25.9   31.1 -1
ARTYUKHIN_EVGENY       54      482:24      9      7      3     42     67     82     52.9     41.2     2.11     2.61     8.42    91.32     2.59     2.83     47.8     2.61     2.57   32.9   24.7   42.4 -1
ASHAM_ARRON       72      725:20     10     14     10     91    121    155     32.3     45.2     2.56     2.73     7.75    89.94     2.57     2.60     49.7     2.60     2.62   31.8   27.8   40.3 -1
AUCOIN_KEITH        9       79:11      1      4      1      4      5      8     16.7     66.7     4.55     4.55    13.04    86.96     3.46     2.51     57.9     2.67     2.74   34.2   23.7   42.1 -1
AVERY_SEAN       69      923:07     10     20     12    138    182    233     23.3     46.5     2.79     2.08     8.37    91.79     2.46     2.61     48.6     2.63     2.63   32.5   28.9   38.7 -1
BACKES_DAVID       79     1445:38     17     31     18    163    241    288     25.4     46.3     2.78     2.70     9.10    90.25     2.70     2.44     52.5     2.85     2.64   33.8   32.0   34.2 -1
BACKLUND_MIKAEL       23      289:50      1      9      4     47     72     91      6.7     60.0     3.10     1.66     9.26    92.92     2.43     2.52     49.1     2.64     2.65   38.8   20.8   40.4 -1
BACKSTROM_NICKLAS       82     1676:35     33     68     42    222    299    364     22.0     45.3     5.37     2.29    13.57    91.32     3.77     2.61     59.0     2.68     2.67   41.6   27.4   30.9 -1
