ALLEN_JAKE       15      803:53     2.99     2.46     54.8    90.46     2.52     2.37 -1
ANDERSON_CRAIG       24     1420:36     2.15     1.69     56.0    94.09     2.88     2.78 -1
BACHMAN_RICHARD       13      608:50     3.06     3.25     48.4    88.54     2.59     2.40 -1
BACKSTROM_NIKLAS       42     2368:08     2.51     2.48     50.2    90.85     2.57     2.55 -1
BERNIER_JONATHAN       14      768:21     3.28     1.87     63.6    92.13     2.54     2.44 -1
BIRON_MARTIN        6      335:42     2.15     2.32     48.0    91.67     3.08     2.66 -1
BISHOP_BEN       22     1255:38     2.48     2.68     48.1    92.01     2.80     2.61 -1
BOBROVSKY_SERGEI       38     2218:56     2.22     2.00     52.6    93.17     2.58     2.53 -1
BRODEUR_MARTIN       29     1752:11     2.36     2.23     51.5    89.98     2.77     2.65 -1
BRYZGALOV_ILYA       40     2297:45     2.82     2.74     50.7    90.13     2.73     2.59 -1
BUDAJ_PETER       13      656:29     3.38     2.29     59.7    90.88     2.69     2.61 -1
CLEMMENSEN_SCOTT       19      866:25     2.08     3.67     36.1    87.41     2.65     2.57 -1
CRAWFORD_COREY       30     1760:31     2.96     1.94     60.4    92.58     2.54     2.40 -1
DUBNYK_DEVAN       38     2100:57     2.66     2.57     50.8    92.06     2.52     2.50 -1
ELLIOTT_BRIAN       24     1271:56     2.12     2.26     48.4    90.79     2.63     2.41 -1
ELLIS_DAN       19      997:04     2.17     3.13     40.9    90.65     2.63     2.62 -1
EMERY_RAY       21     1116:00     3.23     1.94     62.5    92.17     2.54     2.56 -1
ENROTH_JHONAS       12      623:26     2.69     2.60     50.9    91.84     2.75     2.51 -1
FASTH_VIKTOR       25     1428:18     2.90     2.18     57.0    92.13     2.56     2.46 -1
FLEURY_MARC-ANDRE       33     1857:45     3.07     2.39     56.2    91.60     2.65     2.65 -1
GARON_MATHIEU       18      910:04     2.50     2.83     46.9    89.91     2.62     2.62 -1
GIGUERE_JEAN-SEBASTIEN       18      907:50     2.78     2.84     49.4    90.83     2.59     2.43 -1
GREISS_THOMAS        6      308:12     1.75     2.53     40.9    91.50     2.56     2.65 -1
GUSTAVSSON_JONAS        7      349:15     1.72     2.92     37.0    87.68     2.54     2.44 -1
HALAK_JAROSLAV       16      812:35     2.66     2.14     55.4    89.86     2.62     2.55 -1
HARDING_JOSH        5      185:05     2.27     3.24     41.2    86.30     2.53     2.47 -1
HEDBERG_JOHAN       19     1108:16     1.79     2.76     39.3    88.28     2.80     2.66 -1
HILLER_JONAS       26     1498:19     2.52     2.36     51.6    91.25     2.53     2.45 -1
HOLTBY_BRADEN       36     2089:14     3.33     2.56     56.6    92.06     2.70     2.69 -1
HOWARD_JIMMY       42     2445:44     2.48     2.13     53.7    92.29     2.61     2.48 -1
IRVING_LELAND        6      270:04     3.11     3.33     48.3    88.28     2.54     2.44 -1
JOHNSON_CHAD        4      246:37     1.95     1.22     61.5    95.37     2.52     2.45 -1
KHABIBULIN_NIKOLAI       12      683:37     2.11     2.54     45.3    92.29     2.58     2.42 -1
KHUDOBIN_ANTON       14      803:00     2.84     2.32     55.1    92.03     2.69     2.57 -1
KIPRUSOFF_MIIKKA       24     1344:05     2.59     3.44     43.0    88.15     2.55     2.32 -1
KUEMPER_DARCY        6      288:18     1.67     2.08     44.4    91.60     2.67     2.26 -1
LABARBERA_JASON       15      725:55     2.81     2.65     51.5    92.33     2.57     2.31 -1
LEHNER_ROBIN       12      734:48     2.61     2.21     54.2    93.63     2.71     2.42 -1
LEHTONEN_KARI       36     1986:11     2.51     2.63     48.8    91.71     2.61     2.42 -1
LINDBACK_ANDERS       24     1304:11     3.27     2.90     53.0    90.19     2.65     2.74 -1
LUNDQVIST_HENRIK       43     2573:54     2.63     2.05     56.2    92.59     2.73     2.67 -1
LUONGO_ROBERTO       20     1196:55     2.26     2.56     46.9    90.73     2.48     2.53 -1
MACDONALD_JOEY       21     1148:28     2.61     2.87     47.6    90.23     2.58     2.56 -1
MARKSTROM_JACOB       23     1265:45     2.09     3.22     39.3    90.06     2.81     2.58 -1
MASON_CHRIS       11      466:44     2.83     3.60     44.0    87.72     2.51     2.51 -1
MASON_STEVE       20     1090:09     2.70     2.59     51.0    91.61     2.67     2.39 -1
MILLER_RYAN       40     2302:14     2.29     2.81     44.9    91.50     2.77     2.62 -1
MONTOYA_AL        7      351:21     2.22     2.90     43.3    89.88     2.92     2.63 -1
NABOKOV_EVGENI       41     2475:24     2.86     2.50     53.4    90.96     2.73     2.57 -1
NEUVIRTH_MICHAL       13      723:08     2.07     2.74     43.1    91.01     2.70     2.49 -1
NIEMI_ANTTI       43     2580:46     2.46     2.16     53.3    92.38     2.62     2.45 -1
NILSTORP_CRISTOPHER        5      291:18     2.47     3.09     44.4    89.73     2.44     2.43 -1
PAVELEC_ONDREJ       44     2552:43     2.58     2.77     48.2    90.55     2.70     2.66 -1
PETERS_JUSTIN       19      954:24     2.39     3.46     40.9    89.15     2.88     2.59 -1
POULIN_KEVIN        5      257:37     2.33     3.03     43.5    89.34     2.76     2.72 -1
PRICE_CAREY       39     2249:01     2.85     2.59     52.4    90.45     2.69     2.58 -1
QUICK_JONATHAN       37     2133:42     2.45     2.45     50.0    90.21     2.58     2.50 -1
RASK_TUUKKA       36     2102:41     2.40     2.00     54.5    92.85     2.78     2.66 -1
REIMER_JAMES       33     1856:09     3.27     2.46     57.1    92.36     2.73     2.47 -1
RINNE_PEKKA       43     2423:46     2.06     2.38     46.4    91.19     2.61     2.43 -1
SCHNEIDER_CORY       30     1733:19     2.60     2.11     55.1    92.69     2.62     2.50 -1
SCRIVENS_BEN       20     1024:51     2.34     2.69     46.5    91.51     2.72     2.68 -1
SMITH_MIKE       34     1955:33     2.27     2.58     46.8    91.04     2.65     2.51 -1
THEODORE_JOSE       15      766:28     2.27     3.29     40.8    89.23     2.79     2.66 -1
VARLAMOV_SEMYON       35     1949:39     2.06     3.02     40.6    90.26     2.56     2.45 -1
VOKOUN_TOMAS       20     1028:32     3.91     2.45     61.5    91.91     2.72     2.48 -1
WARD_CAM       17      929:27     3.29     2.84     53.7    90.78     2.71     2.65 -1
