ANDERSON_CRAIG,	31,	1635:54,	2.93,	2.71,	51.9,	92.43,	2.84,	2.71,	-1;
AULD_ALEX,	43,	2449:26,	2.45,	2.45,	50.0,	91.22,	2.89,	2.72,	-1;
BACKSTROM_NIKLAS,	71,	4082:10,	2.65,	2.34,	53.1,	92.27,	2.85,	2.71,	1;
BIRON_MARTIN,	55,	3156:31,	3.02,	2.76,	52.3,	91.50,	2.84,	2.71,	-1;
BISHOP_BEN,	6,	244:59,	2.69,	2.94,	47.8,	89.29,	2.94,	2.58,	-1;
BOUCHER_BRIAN,	22,	1286:23,	2.98,	2.19,	57.7,	91.58,	2.77,	2.69,	-1;
BRODEUR_MARTIN,	31,	1813:35,	2.71,	2.42,	52.9,	91.60,	2.88,	2.80,	-1;
BRYZGALOV_ILYA,	64,	3699:58,	2.46,	3.02,	45.0,	90.50,	2.84,	2.64,	-1;
BUDAJ_PETER,	56,	3191:52,	2.07,	2.76,	42.8,	90.25,	2.84,	2.68,	-1;
CLEMMENSEN_SCOTT,	40,	2355:19,	2.85,	2.34,	54.9,	91.89,	2.88,	2.68,	-1;
CLIMIE_MATT,	3,	184:16,	2.60,	2.93,	47.1,	89.41,	2.43,	2.51,	-1;
CONKLIN_TY,	39,	2162:12,	3.66,	2.41,	60.3,	91.19,	2.86,	2.62,	-1;
DANIS_YANN,	31,	1760:07,	2.08,	2.83,	42.4,	91.08,	2.86,	2.72,	-1;
DIPIETRO_RICK,	5,	255:59,	2.34,	3.52,	40.0,	89.21,	2.79,	2.90,	-1;
DROUIN-DESLAURIERS_JEFF,	10,	534:37,	3.14,	3.37,	48.3,	90.00,	2.98,	2.76,	-1;
ELLIOTT_BRIAN,	31,	1667:02,	2.84,	2.77,	50.6,	90.20,	2.90,	2.76,	-1;
ELLIS_DAN,	35,	1964:43,	2.38,	2.93,	44.8,	90.03,	2.87,	2.68,	-1;
ERSBERG_ERIK,	28,	1477:00,	2.48,	2.64,	48.4,	90.02,	2.81,	2.76,	-1;
FERNANDEZ_MANNY,	28,	1644:04,	3.61,	2.59,	58.2,	91.01,	2.82,	2.77,	-1;
FLEURY_MARC-ANDRE,	62,	3636:31,	3.04,	2.67,	53.2,	91.23,	2.86,	2.73,	-1;
GARON_MATHIEU,	19,	1020:34,	2.82,	3.06,	48.0,	89.62,	2.79,	2.76,	-1;
GERBER_MARTIN,	26,	1544:40,	2.72,	3.03,	47.3,	90.23,	2.91,	2.76,	-1;
GIGUERE_JEAN-SEBASTIEN,	46,	2451:34,	2.72,	3.11,	46.6,	90.02,	2.86,	2.72,	1;
HALAK_JAROSLAV,	34,	1930:48,	3.17,	2.86,	52.6,	91.46,	2.85,	2.71,	-1;
HARDING_JOSH,	19,	849:49,	2.19,	2.19,	50.0,	92.97,	2.89,	2.72,	-1;
HEDBERG_JOHAN,	33,	1711:45,	3.40,	3.50,	49.2,	88.56,	2.86,	2.71,	-1;
