ABDELKADER_JUSTIN,	81,	997:27,	8,	14,	12,	121,	158,	196,	23.5,	41.2,	2.04,	2.53,	7.46,	91.14,	2.69,	2.34,	53.5,	2.52,	2.48,	34.5,	29.2,	36.3,	-1;
ADAM_LUKE,	52,	644:54,	10,	10,	4,	89,	134,	167,	35.7,	35.7,	2.60,	2.42,	8.09,	91.80,	2.59,	2.54,	50.5,	2.59,	2.67,	40.7,	23.8,	35.5,	1;
ADAMS_CRAIG,	82,	925:21,	5,	13,	8,	76,	103,	130,	20.0,	52.0,	1.62,	3.18,	8.14,	89.23,	3.05,	2.50,	54.9,	2.66,	2.58,	21.9,	46.1,	32.0,	-1;
ALFREDSSON_DANIEL,	75,	1420:49,	27,	32,	21,	191,	263,	337,	30.7,	36.4,	3.72,	2.20,	10.69,	91.99,	2.80,	3.00,	48.3,	2.70,	2.60,	42.0,	22.7,	35.4,	1;
ALMOND_CODY,	10,	102:08,	1,	0,	0,	7,	9,	13,	100.0,	0.0,	0.59,	3.52,	3.45,	89.66,	1.79,	2.47,	42.1,	2.45,	2.53,	30.9,	39.5,	29.6,	-1;
ANISIMOV_ARTEM,	79,	1216:35,	16,	20,	12,	132,	193,	254,	30.8,	38.5,	2.56,	1.73,	8.80,	93.18,	2.87,	2.19,	56.8,	2.73,	2.65,	35.7,	29.1,	35.2,	-1;
ANTROPOV_NIK,	69,	1139:33,	15,	20,	15,	95,	140,	177,	26.3,	35.1,	3.00,	2.74,	10.14,	90.19,	2.62,	2.69,	49.3,	2.63,	2.64,	39.3,	27.4,	33.3,	-1;
ARMSTRONG_COLBY,	29,	270:18,	1,	2,	0,	14,	19,	26,	25.0,	50.0,	0.89,	2.89,	4.30,	89.17,	2.37,	3.09,	43.4,	2.65,	2.58,	28.0,	28.0,	44.0,	-1;
ARNOTT_JASON,	72,	1014:15,	17,	17,	9,	142,	191,	231,	30.4,	30.4,	3.31,	1.36,	9.41,	93.80,	2.15,	1.93,	52.8,	2.48,	2.53,	47.8,	21.3,	30.9,	-1;
ASHAM_ARRON,	64,	591:05,	5,	11,	9,	49,	68,	92,	20.8,	45.8,	2.44,	2.94,	9.49,	89.79,	2.75,	2.50,	52.3,	2.51,	2.59,	30.9,	30.8,	38.3,	-1;
ASHTON_CARTER,	15,	156:15,	0,	0,	0,	22,	25,	32,	0.0,	0.0,	0.00,	3.84,	0.00,	87.01,	2.65,	3.06,	46.5,	2.67,	2.68,	33.6,	26.4,	40.0,	-1;
ATKINSON_CAM,	27,	415:28,	7,	7,	6,	66,	86,	108,	25.0,	25.0,	4.04,	3.03,	11.02,	88.95,	2.51,	2.98,	45.7,	2.59,	2.42,	38.0,	28.0,	33.9,	-1;
AUCOIN_KEITH,	27,	297:43,	3,	8,	4,	21,	31,	43,	17.6,	47.1,	3.43,	2.22,	10.43,	91.27,	2.56,	2.60,	49.6,	2.55,	2.61,	36.6,	27.7,	35.7,	-1;
AVERY_SEAN,	15,	105:13,	3,	0,	0,	15,	22,	31,	75.0,	0.0,	2.28,	1.14,	9.30,	96.08,	2.55,	2.11,	54.8,	2.48,	2.83,	34.4,	25.8,	39.8,	-1;
BACKES_DAVID,	82,	1639:50,	24,	30,	17,	234,	327,	397,	28.6,	35.7,	3.07,	1.90,	9.34,	92.53,	2.37,	1.93,	55.1,	2.74,	2.53,	32.6,	34.8,	32.5,	-1;
