#PARAMETERS
param p:= 9;
param n:= 298;
param c:= .1;


#ALL X DATA
param X :
	1	2	3	4	5	6	7	8	9
:=
1	17	934:56	2.31	2.25	50.7	93.46	2.78	2.69
2	19	822:42	2.70	3.21	45.7	88.51	2.62	2.49
3	32	1722:17	2.16	2.68	44.6	90.69	2.78	2.60
4	57	3302:23	2.56	2.34	52.2	91.79	2.69	2.56
5	4	238:24	3.52	4.28	45.2	85.71	2.65	2.39
6	62	3479:04	2.85	2.62	52.0	91.72	2.71	2.61
7	5	238:06	2.27	1.76	56.2	93.20	2.58	2.61
8	77	4535:03	2.29	2.21	50.9	91.84	2.80	2.66
9	63	3515:30	2.32	2.46	48.6	91.92	2.74	2.51
10	35	1911:31	2.95	2.57	53.4	90.34	2.66	2.51
11	9	489:10	2.45	3.43	41.7	88.66	2.59	2.46
12	33	1865:33	2.90	2.51	53.6	92.30	2.72	2.64
13	5	224:09	2.14	2.14	50.0	92.86	2.88	2.30
14	10	414:56	2.75	4.05	40.4	85.93	2.80	2.61
15	63	3697:47	2.29	2.81	44.9	90.24	2.80	2.60
16	20	1132:23	2.28	2.70	45.7	91.87	2.75	2.61
17	44	2228:26	2.67	2.29	53.8	92.56	2.77	2.57
18	31	1687:20	2.88	3.13	47.9	88.94	2.77	2.63
19	14	798:59	2.48	2.48	50.0	92.70	2.77	2.44
20	4	224:07	2.68	4.28	38.5	80.95	2.82	2.62
21	35	1837:26	2.91	2.35	55.3	92.00	2.65	2.56
22	47	2650:58	2.56	2.65	49.1	91.36	2.66	2.53
23	57	3197:02	3.19	2.72	54.0	91.04	2.76	2.58
24	58	3265:25	2.39	2.13	52.8	92.21	2.75	2.59
25	17	827:31	2.54	3.70	40.7	87.41	2.73	2.66
26	6	284:40	2.95	2.11	58.3	93.38	2.56	2.77
27	29	1510:05	2.46	2.94	45.6	90.69	2.73	2.54
28	41	2346:43	3.09	2.15	59.0	90.16	2.71	2.56
29	36	1927:14	2.21	3.46	39.0	89.18	2.75	2.63
30	23	1223:07	2.11	2.06	50.6	92.72	2.74	2.58
31	47	2547:13	2.97	3.04	49.4	88.92	2.75	2.65
32	4	197:04	1.22	2.13	36.4	92.63	2.68	2.51
33	51	2948:55	3.25	2.30	58.6	92.13	2.74	2.66
34	19	1032:01	2.33	2.67	46.5	90.80	2.73	2.72
35	9	399:40	2.85	2.55	52.8	90.61	2.53	2.51
36	50	2871:04	2.90	2.63	52.4	90.83	2.72	2.49
37	76	4378:19	2.75	2.69	50.6	90.59	2.69	2.53
38	54	3153:22	2.83	2.89	49.5	89.31	2.76	2.69
39	45	2395:42	2.53	3.03	45.5	90.90	2.66	2.47
40	32	1827:50	2.69	2.82	48.8	89.69	2.62	2.58
41	54	2965:55	2.33	2.23	51.1	91.93	2.75	2.58
42	66	3645:41	2.44	2.42	50.2	91.04	2.75	2.51
43	48	2706:46	2.42	2.90	45.4	91.60	2.76	2.62
44	72	4279:48	2.47	2.20	52.8	91.30	2.77	2.64
45	73	4170:03	2.42	2.37	50.4	91.72	2.72	2.57
46	51	2671:58	2.65	2.90	47.8	89.79	2.65	2.47
47	76	4463:59	2.97	2.65	52.9	90.57	2.76	2.64
48	77	4475:33	2.59	2.15	54.7	90.92	2.73	2.56
49	28	1385:11	2.86	2.86	50.0	90.77	2.67	2.64
50	37	1939:32	2.26	2.69	45.6	89.68	2.77	2.56
51	43	2407:49	3.02	2.07	59.3	91.48	2.67	2.60
52	7	347:16	3.46	3.11	52.6	90.53	2.79	2.76
53	41	2388:22	2.81	2.56	52.3	91.98	2.80	2.61
54	22	1268:43	2.55	2.98	46.2	90.02	2.79	2.59
55	4	184:24	3.90	3.25	54.5	88.64	2.90	2.70
56	19	944:42	2.54	3.94	39.2	87.53	2.84	2.62
57	43	2320:12	2.61	3.05	46.1	90.13	2.71	2.48
58	24	1201:31	2.70	2.70	50.0	90.75	2.79	2.66
59	16	665:53	2.34	2.88	44.8	89.47	2.62	2.55
60	34	1945:41	2.44	2.59	48.5	90.08	2.66	2.58
61	22	1224:04	2.70	2.75	49.5	90.74	2.71	2.54
62	53	3028:02	2.46	2.42	50.4	91.07	2.71	2.55
63	12	506:09	2.85	3.32	46.2	87.10	2.74	2.67
64	57	3341:59	2.51	2.41	51.1	92.25	2.82	2.66
65	23	1202:29	2.29	3.39	40.4	87.96	2.66	2.58
66	66	3777:29	2.80	2.75	50.4	90.36	2.76	2.61
67	62	3623:31	2.78	2.32	54.5	90.90	2.68	2.49
68	13	685:35	2.19	2.19	50.0	91.55	2.81	2.73
69	69	3990:37	2.53	2.63	49.0	92.02	2.79	2.71
70	68	3870:08	3.05	2.73	52.8	90.38	2.73	2.64
71	9	343:25	2.62	2.97	46.9	89.38	2.66	2.60
72	31	1635:54	2.93	2.71	51.9	92.43	2.84	2.71
73	43	2449:26	2.45	2.45	50.0	91.22	2.89	2.72
74	71	4082:10	2.65	2.34	53.1	92.27	2.85	2.71
75	55	3156:31	3.02	2.76	52.3	91.50	2.84	2.71
76	6	244:59	2.69	2.94	47.8	89.29	2.94	2.58
77	22	1286:23	2.98	2.19	57.7	91.58	2.77	2.69
78	31	1813:35	2.71	2.42	52.9	91.60	2.88	2.80
79	64	3699:58	2.46	3.02	45.0	90.50	2.84	2.64
80	56	3191:52	2.07	2.76	42.8	90.25	2.84	2.68
81	40	2355:19	2.85	2.34	54.9	91.89	2.88	2.68
82	3	184:16	2.60	2.93	47.1	89.41	2.43	2.51
83	39	2162:12	3.66	2.41	60.3	91.19	2.86	2.62
84	31	1760:07	2.08	2.83	42.4	91.08	2.86	2.72
85	5	255:59	2.34	3.52	40.0	89.21	2.79	2.90
86	10	534:37	3.14	3.37	48.3	90.00	2.98	2.76
87	31	1667:02	2.84	2.77	50.6	90.20	2.90	2.76
88	35	1964:43	2.38	2.93	44.8	90.03	2.87	2.68
89	28	1477:00	2.48	2.64	48.4	90.02	2.81	2.76
90	28	1644:04	3.61	2.59	58.2	91.01	2.82	2.77
91	62	3636:31	3.04	2.67	53.2	91.23	2.86	2.73
92	19	1020:34	2.82	3.06	48.0	89.62	2.79	2.76
93	26	1544:40	2.72	3.03	47.3	90.23	2.91	2.76
94	46	2451:34	2.72	3.11	46.6	90.02	2.86	2.72
95	34	1930:48	3.17	2.86	52.6	91.46	2.85	2.71
96	19	849:49	2.19	2.19	50.0	92.97	2.89	2.72
97	33	1711:45	3.40	3.50	49.2	88.56	2.86	2.71
98	46	2480:23	2.90	2.40	54.8	91.85	2.73	2.63
99	41	2330:58	2.91	2.55	53.3	90.83	2.83	2.63
100	21	1131:09	3.45	2.81	55.1	90.83	2.74	2.73
101	20	835:42	2.73	3.59	43.2	86.88	2.87	2.81
102	42	2445:46	3.19	2.33	57.8	91.94	2.87	2.70
103	76	4417:57	3.08	2.83	52.2	90.34	2.78	2.67
104	8	410:03	2.49	3.66	40.5	89.80	2.89	2.74
105	27	1421:33	2.41	2.74	46.7	90.21	2.83	2.74
106	24	1296:42	2.41	3.10	43.7	89.97	2.83	2.77
107	12	673:40	3.12	3.83	44.9	86.73	2.82	2.68
108	29	1447:19	3.15	3.19	49.7	88.49	2.87	2.62
109	46	2624:15	2.72	3.04	47.2	91.10	2.87	2.72
110	19	1028:51	2.27	2.86	44.3	90.30	2.90	2.68
111	70	4147:46	2.40	2.43	49.7	91.63	2.93	2.73
112	53	3136:30	3.04	2.30	57.0	92.08	2.78	2.69
113	49	2767:44	2.38	3.38	41.3	90.09	2.90	2.71
114	57	3214:47	2.44	2.41	50.4	91.65	2.82	2.67
115	61	3661:51	2.47	2.29	51.9	91.56	2.89	2.69
116	13	454:16	1.85	3.57	34.2	88.80	2.76	2.75
117	15	775:51	2.55	3.56	41.8	88.67	2.93	2.87
118	59	3373:15	2.92	2.56	53.2	91.73	2.92	2.74
119	5	259:28	2.31	2.08	52.6	92.50	2.38	2.60
120	62	3681:26	2.97	2.43	55.0	91.02	2.81	2.71
121	5	219:53	3.27	2.73	54.5	90.10	2.88	2.91
122	32	1804:15	3.16	2.76	53.4	91.23	2.89	2.67
123	8	323:11	2.41	3.16	43.3	87.22	2.75	2.78
124	46	2662:43	3.27	3.06	51.6	88.73	2.75	2.68
125	12	599:25	2.70	3.60	42.9	88.04	2.83	2.71
126	7	371:42	2.91	4.36	40.0	84.39	2.86	2.59
127	52	3005:36	2.69	2.83	48.7	90.54	2.90	2.73
128	44	2484:54	2.39	2.49	49.0	91.38	2.88	2.64
129	24	1306:54	2.39	3.63	39.7	89.49	2.94	2.68
130	31	1717:26	2.48	3.11	44.4	89.29	2.87	2.68
131	52	2979:12	2.54	2.40	51.4	91.67	2.88	2.69
132	63	3591:51	2.74	2.77	49.7	91.48	2.82	2.65
133	19	989:26	2.30	2.85	44.7	89.85	2.89	2.61
134	19	972:35	2.47	2.59	48.8	90.62	2.96	2.62
135	8	355:24	2.70	3.38	44.4	87.65	2.76	2.65
136	41	2466:21	2.41	2.63	47.8	91.56	2.84	2.67
137	10	437:52	2.06	3.70	35.7	87.02	2.79	2.58
138	21	1007:29	2.74	2.62	51.1	91.52	2.83	2.74
139	57	3263:27	3.03	2.85	51.6	90.10	2.83	2.71
140	54	3257:20	3.08	2.10	59.4	93.27	2.90	2.72
141	53	3016:25	2.77	3.30	45.6	88.90	2.83	2.67
142	74	4307:15	2.70	2.83	48.9	89.76	2.85	2.68
143	15	803:05	2.02	2.76	42.2	90.95	2.93	2.84
144	6	328:33	3.65	2.37	60.6	91.82	2.85	2.85
145	59	3319:07	2.51	2.50	50.2	92.56	2.90	2.79
146	68	3908:03	2.92	2.41	54.8	91.63	2.89	2.77
147	16	789:37	2.66	2.43	52.2	91.94	2.78	2.90
148	51	2860:07	2.52	2.83	47.1	91.25	2.69	2.51
149	16	748:35	2.88	2.56	52.9	91.62	2.62	2.66
150	51	2977:30	2.40	2.64	47.6	91.63	2.82	2.65
151	25	1378:15	2.79	2.48	52.9	91.26	2.68	2.58
152	17	927:30	2.52	2.13	54.2	92.25	2.70	2.73
153	7	368:49	2.93	2.77	51.4	89.88	2.76	2.90
154	54	2997:24	3.26	2.52	56.4	91.69	2.69	2.59
155	34	1884:34	2.61	2.42	51.9	91.57	2.61	2.52
156	56	3116:06	2.00	2.41	45.4	90.47	2.69	2.63
157	68	4054:52	2.72	2.49	52.3	92.08	2.76	2.59
158	45	2438:22	2.73	3.17	46.2	89.53	2.76	2.62
159	31	1696:04	2.02	2.58	43.9	91.24	2.69	2.61
160	25	1285:27	3.41	3.22	51.4	88.16	2.76	2.63
161	57	3331:31	2.97	2.31	56.3	91.69	2.77	2.63
162	26	1533:12	2.54	3.44	42.5	88.59	2.72	2.54
163	35	2056:04	2.42	2.71	47.2	91.55	2.77	2.58
164	55	2983:08	2.17	3.32	39.6	89.35	2.71	2.65
165	44	2406:55	2.92	2.74	51.5	89.87	2.65	2.61
166	10	527:18	2.73	2.28	54.5	92.65	2.88	2.60
167	14	769:24	2.73	2.73	50.0	90.72	2.65	2.51
168	65	3695:10	2.63	2.32	53.1	91.78	2.73	2.61
169	36	1938:00	2.14	2.72	44.0	90.07	2.78	2.59
170	3	185:00	2.60	1.30	66.7	95.79	2.69	2.77
171	33	1633:01	2.28	2.79	44.9	90.19	2.67	2.62
172	23	1242:07	2.08	3.29	38.7	89.01	2.63	2.53
173	57	3294:22	2.55	2.48	50.7	91.04	2.75	2.59
174	34	1717:28	2.13	2.38	47.3	91.25	2.81	2.57
175	49	2671:32	2.58	2.56	50.2	92.36	2.71	2.61
176	14	735:59	2.61	1.71	60.4	93.66	2.70	2.65
177	63	3615:16	3.09	2.77	52.7	90.86	2.74	2.57
178	23	1296:42	2.82	2.13	57.0	92.36	2.62	2.64
179	17	834:51	3.31	2.44	57.5	91.19	2.65	2.75
180	47	2681:05	2.08	3.42	37.8	88.90	2.72	2.66
181	4	188:44	2.86	1.59	64.3	94.19	2.78	2.71
182	71	4155:39	2.76	2.63	51.2	90.58	2.75	2.61
183	4	207:51	4.91	4.33	53.1	87.29	2.69	2.48
184	17	882:38	2.52	3.26	43.5	90.91	2.78	2.65
185	7	365:25	1.97	2.96	40.0	88.96	2.70	2.67
186	10	384:19	2.03	4.06	33.3	89.30	2.71	2.64
187	14	763:03	1.73	2.83	37.9	90.79	2.71	2.51
188	8	340:52	2.64	3.52	42.9	88.76	2.71	2.61
189	69	4089:11	2.67	2.57	51.0	91.38	2.75	2.62
190	22	1131:03	3.18	2.60	55.0	91.49	2.79	2.58
191	68	3966:40	2.74	2.28	54.5	92.24	2.71	2.58
192	60	3579:59	2.93	2.10	58.3	92.84	2.75	2.63
193	15	720:51	2.58	2.50	50.8	91.91	2.72	2.61
194	33	1681:41	2.68	3.39	44.1	89.22	2.63	2.58
195	54	3026:30	2.66	3.03	46.7	90.07	2.76	2.60
196	28	1394:52	2.71	3.18	46.0	89.74	2.78	2.58
197	66	3829:18	2.98	2.58	53.5	91.59	2.69	2.60
198	21	1153:48	3.17	2.39	57.0	92.14	2.67	2.52
199	47	2624:29	2.83	2.49	53.2	91.29	2.68	2.65
200	60	3523:54	2.86	2.38	54.5	91.96	2.78	2.53
201	24	1414:28	2.84	2.67	51.5	89.74	2.65	2.79
202	11	628:40	3.25	2.77	54.0	90.27	2.57	2.65
203	58	3223:11	2.46	2.70	47.6	91.47	2.72	2.57
204	12	648:17	2.41	3.98	37.7	87.43	2.70	2.49
205	10	491:19	3.05	2.44	55.6	92.37	2.57	2.70
206	72	4206:09	2.45	2.33	51.3	92.39	2.75	2.59
207	61	3590:34	2.39	2.24	51.6	91.78	2.83	2.67
208	29	1594:23	2.56	2.63	49.3	91.91	2.65	2.63
209	19	847:10	2.48	2.83	46.7	91.03	2.82	2.56
210	37	2080:09	3.00	2.60	53.6	92.06	2.75	2.58
211	64	3789:12	2.38	2.11	53.0	93.01	2.80	2.69
212	54	3198:35	2.44	2.55	48.9	91.46	2.67	2.59
213	25	1371:47	3.41	2.23	60.5	92.85	2.71	2.72
214	22	1202:29	2.89	2.89	50.0	89.93	2.76	2.57
215	32	1792:54	2.34	2.71	46.4	91.59	2.75	2.61
216	57	3363:58	3.09	1.98	60.9	93.86	2.72	2.58
217	30	1629:09	3.02	3.02	50.0	89.72	2.70	2.60
218	27	1560:03	2.08	2.23	48.2	92.35	2.80	2.59
219	57	3223:25	2.33	2.55	47.7	92.18	2.75	2.60
220	73	4238:32	2.76	2.55	52.0	92.29	2.66	2.59
221	63	3492:18	2.92	2.82	50.9	91.44	2.66	2.62
222	14	645:02	2.60	3.35	43.8	88.39	2.78	2.43
223	18	928:05	2.78	2.78	50.0	90.91	2.67	2.43
224	46	2589:41	1.92	2.43	44.1	91.91	2.58	2.62
225	16	890:12	2.22	2.36	48.5	90.86	2.53	2.52
226	21	1220:01	2.80	2.41	53.8	90.54	2.71	2.69
227	10	531:39	2.82	2.48	53.2	90.95	2.69	2.58
228	29	1550:05	3.17	2.98	51.6	89.96	2.74	2.59
229	10	546:21	1.65	3.40	32.6	88.08	2.71	2.59
230	59	3387:29	2.43	2.41	50.2	90.74	2.76	2.61
231	59	3415:15	3.04	2.46	55.3	90.98	2.67	2.57
232	17	1036:57	2.26	2.49	47.6	91.50	2.71	2.69
233	30	1565:52	2.38	2.57	48.1	91.33	2.74	2.53
234	15	804:34	2.46	3.28	42.9	88.33	2.49	2.66
235	57	3218:13	2.78	2.72	50.5	90.30	2.60	2.44
236	4	241:12	3.23	2.74	54.2	90.27	2.57	2.44
237	7	353:45	3.22	3.73	46.3	87.57	2.72	2.58
238	47	2653:27	2.62	2.65	49.8	91.50	2.61	2.50
239	38	2214:35	2.33	1.57	59.7	94.00	2.78	2.48
240	10	418:42	2.29	2.72	45.7	91.12	2.56	2.47
241	34	1773:47	2.88	2.81	50.6	90.05	2.55	2.46
242	26	1399:15	2.27	2.66	46.1	91.79	2.79	2.63
243	67	3891:13	3.25	2.33	58.3	91.43	2.68	2.51
244	48	2483:45	2.71	2.85	48.7	90.09	2.60	2.54
245	32	1819:34	2.31	2.27	50.4	91.88	2.59	2.52
246	19	1042:43	2.82	2.30	55.1	91.53	2.48	2.57
247	42	2300:42	2.90	2.90	50.0	90.31	2.71	2.54
248	12	535:34	1.34	2.46	35.3	91.91	2.53	2.46
249	46	2746:37	2.53	1.97	56.3	92.57	2.56	2.59
250	34	1849:52	1.91	2.63	42.1	91.73	2.69	2.38
251	27	1586:10	2.84	2.19	56.4	91.87	2.62	2.57
252	73	4247:31	2.35	2.56	47.8	91.02	2.59	2.44
253	7	360:34	3.16	2.50	55.9	92.19	2.70	2.39
254	57	3360:17	3.02	2.09	59.1	92.16	2.62	2.43
255	7	394:25	1.82	3.19	36.4	91.21	2.73	2.49
256	16	811:05	2.88	3.11	48.1	88.30	2.64	2.73
257	9	454:10	1.98	3.17	38.5	89.96	2.59	2.39
258	40	2255:30	2.31	2.66	46.5	91.00	2.55	2.45
259	70	4128:00	2.46	2.34	51.2	92.11	2.59	2.50
260	19	994:38	2.11	2.59	44.9	90.97	2.61	2.45
261	5	299:07	2.41	2.01	54.5	93.46	2.69	2.70
262	59	3476:49	2.36	2.33	50.4	92.17	2.56	2.49
263	16	792:25	2.27	2.42	48.4	91.21	2.55	2.52
264	62	3748:26	2.62	1.97	57.1	92.97	2.77	2.62
265	55	3162:23	2.81	2.39	54.0	92.01	2.57	2.47
266	14	805:33	2.53	2.16	54.0	91.21	2.70	2.49
267	7	383:15	1.72	2.66	39.3	92.34	2.70	2.74
268	20	974:52	2.34	2.52	48.1	90.10	2.55	2.55
269	46	2533:41	2.42	3.39	41.6	89.45	2.59	2.51
270	61	3526:25	2.59	2.54	50.5	91.64	2.69	2.62
271	31	1719:42	2.27	3.10	42.2	89.30	2.70	2.66
272	42	2377:46	2.35	2.55	47.9	91.37	2.75	2.53
273	38	1995:03	2.35	2.80	45.6	90.35	2.65	2.63
274	68	3915:46	2.51	2.42	50.9	91.45	2.62	2.46
275	4	217:48	0.55	2.75	16.7	91.07	3.01	2.43
276	68	3932:26	2.65	2.90	47.8	90.66	2.70	2.63
277	7	387:04	2.48	2.48	50.0	93.13	2.68	2.48
278	6	296:18	2.63	3.04	46.4	90.74	2.60	2.57
279	65	3934:06	2.49	2.44	50.5	91.61	2.77	2.61
280	69	4099:26	2.24	1.95	53.5	92.86	2.64	2.50
281	23	1289:24	2.84	2.05	58.1	92.90	2.53	2.60
282	10	529:23	2.04	3.51	36.7	89.77	2.60	2.46
283	34	1879:15	2.68	3.10	46.4	90.04	2.66	2.60
284	73	4168:52	2.82	2.39	54.1	92.29	2.61	2.47
285	40	2093:31	2.78	3.67	43.1	88.63	2.73	2.58
286	36	1982:55	2.21	2.60	45.9	91.14	2.62	2.42
287	33	1832:50	2.95	1.96	60.0	93.64	2.60	2.56
288	12	671:37	2.32	3.13	42.6	90.25	2.65	2.55
289	67	3903:04	2.58	2.21	53.8	93.03	2.61	2.48
