ALBERTS_ANDREW,	35,	721,	0,	2,	1,	25,	39,	62,	0.0,	9.5,	1.75,	2.66,	7.72,	91.49,	2.70,	2.46,	52.3,	2.83,	2.66,	24.3,	37.4,	38.3,	-1;
ALLEN_BOBBY,	19,	188,	0,	0,	0,	10,	13,	18,	0.0,	0.0,	0.64,	2.23,	2.50,	92.13,	2.49,	2.39,	51.0,	2.55,	2.73,	28.6,	34.2,	37.3,	-1;
ALLEN_BRYAN,	73,	1554,	2,	13,	4,	67,	102,	164,	3.6,	23.2,	2.16,	3.01,	8.02,	91.75,	2.80,	2.40,	53.9,	2.94,	2.66,	24.9,	38.4,	36.7,	-1;
AUCOIN_ADRIAN,	76,	1591,	10,	25,	12,	121,	195,	294,	11.5,	28.7,	3.28,	2.07,	10.48,	91.54,	2.69,	2.82,	48.8,	2.62,	2.53,	41.3,	22.3,	36.4,	-1;
BACKMAN_CHRISTIAN,	63,	1210,	3,	15,	5,	51,	80,	120,	6.1,	30.6,	2.43,	1.98,	8.51,	92.16,	2.60,	2.58,	50.2,	2.58,	2.53,	34.5,	25.1,	40.4,	-1;
BALLARD_KEITH,	81,	1728,	6,	14,	9,	103,	141,	205,	9.2,	21.5,	2.26,	2.95,	8.81,	91.47,	2.82,	2.57,	52.3,	2.92,	2.47,	20.8,	39.2,	40.0,	-1;
BARKER_CAM,	45,	773,	6,	12,	5,	42,	61,	95,	15.8,	31.6,	2.95,	2.56,	11.55,	91.06,	2.93,	2.58,	53.2,	2.56,	2.51,	34.1,	24.6,	41.3,	-1;
BEAUCHEMIN_FRANCOIS,	82,	2091,	2,	19,	13,	144,	227,	302,	3.2,	30.6,	1.78,	2.98,	6.82,	90.23,	3.08,	1.68,	64.7,	2.80,	2.57,	28.6,	31.5,	39.9,	-1;
BERARD_BRYAN,	54,	952,	5,	17,	5,	87,	124,	206,	12.5,	42.5,	2.52,	2.58,	7.89,	90.38,	2.36,	2.69,	46.8,	2.57,	2.60,	37.2,	26.3,	36.5,	-1;
BERGERON_MARC-ANDRE,	55,	957,	9,	9,	4,	108,	144,	218,	18.0,	18.0,	3.13,	2.76,	9.29,	89.00,	2.27,	2.57,	46.9,	2.57,	2.67,	38.5,	22.2,	39.3,	-1;
BIEKSA_KEVIN,	34,	796,	2,	10,	3,	64,	102,	153,	5.7,	28.6,	2.64,	3.09,	9.64,	89.72,	2.67,	2.23,	54.5,	2.67,	2.59,	33.8,	28.5,	37.8,	-1;
BLAKE_ROB,	71,	1613,	9,	22,	12,	144,	199,	276,	12.2,	29.7,	2.75,	3.87,	9.39,	88.24,	2.70,	2.95,	47.8,	2.75,	2.45,	29.6,	33.7,	36.7,	-1;
BORER_CASEY,	11,	168,	1,	2,	1,	5,	6,	13,	14.3,	28.6,	2.50,	3.57,	7.78,	86.67,	2.99,	2.79,	51.8,	2.50,	2.62,	42.4,	21.2,	36.4,	-1;
BOUCHER_PHILIPPE,	38,	817,	2,	12,	8,	72,	101,	138,	5.1,	30.8,	2.86,	2.79,	11.68,	89.70,	2.92,	2.38,	55.2,	2.60,	2.55,	28.6,	33.5,	37.9,	-1;
BOUILLON_FRANCIS,	74,	1283,	2,	6,	0,	60,	81,	131,	4.5,	13.6,	2.06,	2.57,	8.71,	92.09,	3.26,	2.45,	57.0,	2.72,	2.62,	25.3,	32.3,	42.4,	-1;
BOURDON_LUC,	27,	347,	2,	0,	0,	26,	35,	48,	14.3,	0.0,	2.42,	0.86,	9.72,	96.73,	2.42,	2.43,	49.9,	2.53,	2.65,	35.0,	26.6,	38.4,	-1;
BOUWMEESTER_JAY,	82,	2251,	15,	23,	12,	182,	244,	332,	16.3,	25.0,	2.45,	2.90,	7.78,	91.55,	2.73,	2.35,	53.7,	2.93,	2.71,	29.4,	33.7,	36.9,	-1;
BOYLE_DAN,	37,	1013,	4,	21,	11,	74,	110,	159,	7.8,	41.2,	3.02,	3.91,	9.34,	85.30,	2.81,	2.86,	49.6,	2.72,	2.63,	39.3,	24.4,	36.2,	-1;
BOYNTON_NICK,	78,	1330,	3,	9,	4,	93,	129,	198,	7.7,	23.1,	1.76,	3.16,	6.52,	90.37,	2.80,	2.47,	53.2,	2.61,	2.52,	26.1,	36.6,	37.3,	-1;
BREWER_ERIC,	77,	1896,	1,	21,	10,	101,	151,	230,	1.4,	29.2,	2.28,	3.13,	9.86,	88.70,	2.57,	2.61,	49.6,	2.84,	2.50,	25.4,	34.7,	39.9,	-1;
BRISEBOIS_PATRICE,	43,	723,	3,	8,	4,	42,	72,	112,	9.1,	24.2,	2.74,	1.57,	8.68,	94.51,	3.21,	2.68,	54.5,	2.76,	2.76,	33.0,	27.9,	39.1,	-1;
BROOKBANK_SHELDON,	44,	665,	0,	8,	4,	43,	75,	110,	0.0,	32.0,	2.25,	2.25,	8.17,	92.24,	2.25,	2.23,	50.2,	2.61,	2.58,	34.8,	26.6,	38.5,	-1;
BYFUGLIEN_DUSTIN,	67,	1141,	19,	16,	7,	163,	226,	279,	32.2,	27.1,	3.10,	2.16,	9.35,	90.05,	2.98,	2.75,	51.9,	2.53,	2.59,	40.8,	19.7,	39.5,	-1;
CAMPBELL_BRIAN,	83,	2083,	8,	53,	28,	142,	219,	302,	6.2,	41.1,	3.71,	2.65,	11.26,	89.73,	3.30,	2.40,	57.9,	2.70,	2.63,	36.4,	24.7,	39.0,	-1;
CAMPOLI_CHRIS,	46,	879,	4,	14,	8,	68,	93,	130,	8.2,	28.6,	3.34,	2.39,	10.45,	90.25,	2.12,	2.80,	43.1,	2.67,	2.62,	35.4,	26.9,	37.6,	-1;
CARLE_MATT,	62,	1026,	2,	13,	8,	63,	87,	120,	4.5,	29.5,	2.57,	2.22,	7.99,	88.38,	2.92,	2.12,	58.0,	2.57,	2.59,	40.0,	20.2,	39.9,	-1;
CARNEY_KEITH,	61,	815,	1,	10,	4,	27,	44,	61,	3.2,	32.3,	2.28,	2.13,	8.24,	92.79,	3.00,	2.46,	54.9,	2.51,	2.54,	27.3,	33.9,	38.8,	-1;
CHARA_ZDENO,	77,	2066,	17,	34,	19,	207,	286,	391,	14.4,	28.8,	3.43,	2.47,	11.23,	91.47,	1.94,	2.48,	43.8,	2.93,	2.65,	31.8,	33.1,	35.1,	-1;
CHELIOS_CHRIS,	69,	1168,	3,	9,	4,	60,	106,	157,	8.3,	25.0,	1.85,	2.67,	7.29,	90.48,	2.88,	1.94,	59.7,	2.65,	2.57,	30.4,	33.9,	35.8,	-1;
CLARK_BRETT,	57,	1319,	5,	16,	6,	87,	112,	165,	8.1,	25.8,	2.82,	2.96,	9.89,	89.41,	2.67,	2.43,	52.3,	2.83,	2.53,	27.8,	31.0,	41.2,	-1;
COBURN_BRAYDON,	78,	1656,	9,	27,	8,	113,	173,	240,	9.4,	28.1,	3.48,	2.32,	11.71,	92.12,	2.66,	2.87,	48.1,	2.72,	2.60,	25.9,	33.8,	40.3,	-1;
COLAIACOVO_CARLO,	28,	488,	2,	3,	2,	30,	38,	56,	12.5,	18.8,	1.97,	3.32,	6.67,	89.29,	2.73,	2.85,	48.9,	2.74,	2.58,	24.0,	34.7,	41.3,	-1;
COMMODORE_MIKE,	67,	1219,	3,	12,	7,	97,	138,	211,	6.7,	26.7,	2.21,	3.79,	7.89,	87.76,	3.11,	2.77,	52.9,	2.72,	2.58,	27.7,	34.7,	37.6,	-1;
CORVO_JOE,	73,	1357,	13,	35,	17,	167,	218,	339,	12.9,	34.7,	4.46,	1.90,	11.85,	91.93,	3.03,	2.84,	51.6,	2.53,	2.68,	42.9,	18.2,	38.9,	-1;
CULLIMORE_JASSEN,	65,	1174,	3,	9,	3,	55,	67,	100,	6.5,	19.6,	2.35,	2.40,	8.65,	93.03,	2.70,	2.61,	50.8,	2.72,	2.67,	29.2,	39.1,	31.7,	-1;
CUMISKEY_KYLE,	38,	460,	0,	5,	1,	19,	27,	39,	0.0,	25.0,	2.60,	2.47,	8.89,	89.50,	2.72,	2.48,	52.3,	2.44,	2.59,	43.2,	20.4,	36.4,	-1;
